name,price,status,shipping,free_returns,items_sold
New ListingASUS GeForce RTX 3080 TUF Gaming 10GB GDDR6X NON-LHR SHIPS TODAY!,190000,Open Box,2500,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card GPU NEW,172500,Brand New,2795,False,
MSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Nvidia Graphics Video Card,169998,Brand New,1595,False,
MSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X NON-LHR ✅FREE FAST SHIPPING✅,224999,Pre-Owned,0,False,0
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card,187500,Brand New,0,False,
NVIDIA - FOUNDERS EDITION GeForce RTX 3080 Ti 12GB GDDR6X - Titanium/Black,184999,Brand New,0,True,0
*IN HAND* NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,181999,Brand New,1540,False,
"New ListingSEALED Brand New EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING, 12G-P5-3967-KR GPU",189903,Brand New,2903,False,
"""Graphics Card"" Alienware GeForce RTX 3080 GDDR6X 10gb (Non-LHR) Dell OEM",170100,Pre-Owned,0,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB NON-LHR Graphics Card Free Ship,154500,Pre-Owned,0,False,
GIGABYTE NVIDIA GeForce RTX 3080 LHR 10GB GDDR6 Graphics Card LHR,109300,Brand New,0,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X 10G-P5-3897-KR Non-LHR GPU,152500,Pre-Owned,1705,False,
"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X 🔥 SEALED, TRUSTED 🔥",155100,Pre-Owned,3520,False,
NVIDIA GeForce RTX 3080 Founders Edition FE 10GB - Non LHR!,194500,Open Box,0,False,
EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB GDDR6X Graphics Card 10G-P5-3885-KH,107500,Brand New,1065,False,
New ListingEVGA RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card (10G-P5-3897-KL) NIB,102500,Brand New,2000,False,
MSI GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X Graphics Card,150000,Brand New,1065,False,
New ListingAtlanta Pickup Only! NVIDIA GeForce RTX 3080 Ti Founders Edition Graphics Card,179500,Brand New,,False,
"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING, 10G-P5-3897-KL, 10GB GDDR6X LHR",149900,Brand New,925,False,
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card: NON-LHR,180000,Pre-Owned,930,False,
Tested! RTX 3080 Founders Edition (NOT- LHR) 10GB GDDR6X PCI-E 4.0,195000,Open Box,2999,False,
MSI NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card ---NON LHR--- PICKUP ONLY,200000,Brand New,,False,
ZOTAC GAMING GeForce RTX 3080 Ti Trinity OC 12GB GDDR6X Graphics Card,182000,Brand New,0,False,
NVIDIA GIGABYTE GeForce RTX 3080 Ti GAMING 12G OC Graphics Card SHIPS FAST,142300,Pre-Owned,1465,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X  BRAND NEW SAME DAY SHIP ,191900,Brand New,0,False,0
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB (10G-P5-3897-KL LHR),100000,Open Box,1065,False,
ASUS ROG Strix GeForce RTX 3080 V2 OC Edition 10GB GDDR6X LHR Graphics Card ,163332,Brand New,0,True,0
Nvidia GeForce RTX 3080 ASUS STRIX-RTX3080-O10G-V2-GAMING ROG Video Card,132500,Brand New,1595,False,
🔥EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB Graphics Card 🔥,178000,Brand New,2000,False,
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition GPU LHR Graphics Card,150900,Pre-Owned,0,False,0
✅NEW✅GIGABYTE AORUS RTX 3080 Ti XTREME WATERFORCE,189900,Brand New,1999,False,0
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GDDR6X LHR Graphics Card,160000,Brand New,0,True,0
,,,,False,
🔥EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB Graphics Card 🔥,178000,Brand New,2000,False,
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition GPU LHR Graphics Card,150900,Pre-Owned,0,False,0
ASUS ROG Strix GeForce RTX 3080 White OC Edition 10GB GDDR6X GPU - LHR,204999,Open Box,0,False,
NVIDIA GIGABYTE GeForce RTX 3080 Ti GAMING 12G OC Graphics Card NEW,182500,Brand New,8735,False,
New ListingASUS ROG Strix GeForce RTX 3080Ti OC Edition Gaming 12GB GDDR6X Graphics Card,279999,Brand New,0,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X - READY TO SHIP,150300,Pre-Owned,4000,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X GPU **FAST SHIPPING**,120000,Brand New,3140,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X  BRAND NEW SAME DAY SHIP ,191900,Brand New,0,False,0
NVIDIA GeForce RTX 3080 Founders Edition FE 10GB GDDR6X Graphics Card,150000,Pre-Owned,1065,False,
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 1‎0GB GDDR6X Graphics Card,165000,Brand New,2000,False,
EVGA GeForce RTX 3080 Ti FTW3 Ultra 12GB GDDR6X Graphic Card (12G-P5-3967-KB),194998,Brand New,1065,False,0
MSI GeForce RTX 3080 Ti GAMING X TRIO 12GB GDDR6X Graphics Card,205995,Brand New,0,True,0
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card,103200,Brand New,2500,False,
New! GIGABYTE GeForce RTX 3080 GAMING OC LHR GDDR6X GPU ,149999,Brand New,0,False,
EVGA GeForce RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card 10G-P5-3897-KL,100000,Pre-Owned,1065,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X🚚Fast Ship🚚2Day option,142999,Brand New,1999,False,0
GIGABYTE GeForce NVIDIA 3080ti RTX VISION OC 12GB White Graphics Card,155000,Brand New,1440,False,
GIGABYTE GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X Graphics Card,140000,Brand New,2435,False,
EVGA GeForce RTX 3080 FTW3 ULTRA HYBRID GAMING 10GB GDDR6X Graphics Card...,135000,Brand New,1065,False,
ASUS ROG Strix GeForce RTX 3080 OC 10GB V2 GDDR6X Graphics Card - LHR  FAST SHIP,164900,Brand New,0,False,0
ASUS ROG Strix GeForce RTX 3080 Ti OC (SUPRIM) 12GB GDDR6X Graphics Card,160000,Pre-Owned,0,False,0
GIGABYTE Nvidia GeForce RTX 3080 Gaming OC Waterforce WB,122500,Brand New,1821,False,
New ListingZOTAC GAMING GeForce RTX 3080 AMP Holo 10GB GDDR6X LHR,159900,Brand New,0,False,
EVGA GeForce RTX 3080 FTW3 10GB GDDR6X Graphics Card (10G-P5-3897-KL),170000,Brand New,3500,False,
ASUS TUF Gaming GeForce RTX 3080 OC 10GB GDDR6X Graphics Card,134900,Brand New,3000,False,
Dell NVIDIA Geforce RTX 3080 10GB GDDR6X Graphics Card,199900,Pre-Owned,6015,False,
ASUS NVIDIA ROG Strix GeForce RTX 3080 Ti OC 12GB GDDR6X GPU🚚 FAST 2-Day opt🚚,221999,Brand New,1999,False,0
MSI GeForce RTX 3080 10GB GDDR6X Graphics Card 5V10W62712 (NON-LHR) -SB4545,145000,Pre-Owned,0,True,
Aorus Gaming Box - RTX 3080 Liquid-Cooled eGPU,165000,Open Box,5000,False,0
NEW EVGA NVIDIA GeForce RTX 3080 XC3 10GB GDDR6X Graphics Card,154900,Brand New,0,False,
